BODY
Fuselage
 15  21
 0.700000  -0.010286  0.014158
 0.700000  -0.014158  0.010286
 0.700000  -0.016643  0.005408
 0.700000  -0.017500  0.000000
 0.700000  -0.016643  -0.005408
 0.700000  -0.014158  -0.010286
 0.700000  -0.010286  -0.014158
 0.700000  -0.005408  -0.016643
 0.700000  -0.000000  -0.017500
 0.700000  0.005408  -0.016643
 0.700000  0.010286  -0.014158
 0.700000  0.014158  -0.010286
 0.700000  0.016643  -0.005408
 0.700000  0.017500  -0.000000
